,OldIndex,IssueDate,"Permitm,No.",Ward,Parcel,Address,Owner,Contractor,WorkDescription,Cost,SNPNeighborhood(partial),TypeofWork(partial),TypeofStructure(partial)
0,31,1/7/2015,14-B-03657,14,0052N00176000000,4800 FORBES AVE,Pennsylvania Higher Education Facilitiesauthority,MASCARO CONSTRUCTION COMPANY LP,"FOUNDATION PERMIT ONLY - FUTURE USE OF 3,600 SQUARE FOOT ONE STORY ADDITION WITH 3,600 SQUARE FOOT ROOF DECK FOR EDUCATIONAL CLASSROOM SPACE",100000.0,,,
1,65,1/14/2015,14-B-04121,22,0008J00030000000,100 ART ROONEY DR,Sports & Exhibition Auth Of Pittsburgh   <Br>Allegheny County,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR AND EXTERIOR RENOVATION TO ADD APPROXIMATELY 2986 SEATS, INTERIOR CLUB SPACE, COUNCOURSE, RESTROOM AND FOOD SERVICE. FINAL PLANS WILL INCLUDE EXTERIOR BIKE RACKS.",14526270.0,,,
2,286,2/12/2015,15-B-00339,22,0008C00300000000,4 ALLEGHENY CTR,Four Allegheny Associates Lp,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR DEMOLITION TO FLOORS 2, 5 AND 6 OF 10 STORY STRUCTURE",45000.0,,,
3,610,3/27/2015,14-B-03641,14,0052N00176000000,4800 FORBES AVE,Pennsylvania Higher Education Facilitiesauthority,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATION, EXTERIOR RENOVATION AND ",2129130.0,,,
4,907,4/30/2015,15-B-00942,2,0002E00184000000,501 GRANT ST,Div 501 Grant Limited Partnership,MASCARO CONSTRUCTION COMPANY LP,INTERIOR AND EXTERIOR RENOVATIONS,7474173.0,,,
5,914,5/1/2015,15-B-00326,23,0024P00216000000,950 PROGRESS ST,Buncher Company,MASCARO CONSTRUCTION COMPANY LP,INTERIOR DEMOLITION ONLY,1027380.0,,,
6,1238,6/3/2015,15-B-00817,2,0001D00032000000,600 PENN AVE,Pittsburgh Symphony Society,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 6298 SQ FT OF 5 STORY STRUCTURE (HEINZ HALL),950000.0,,,
7,2183,7/24/2015,15-B-01640,16,0030B00200000000,3400 S WATER ST,Upmc Presbyterian,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATIONS TO 9,400 SQ FT OF TWO STORY STRUCTURE",793186.0,,,
8,4250,10/1/2015,15-B-02084,2,0002E00184000A00,"501 GRANT ST, PITTSBURGH, PA 15219",501 GRANT STREET PARTNERS LLC,JOHN MASCARO,"INTERIOR RENOVATIONS TO 13,330 SQ FT ON THE 10TH AND 11TH FLOORS OF 11 STORY STRUCTURE",419502.0,,,
9,6185,12/4/2015,15-B-02436,3,0009R00194000000,"1435 BEDFORD, PITTSBURGH, PA",ENERGY INNOVATION CENTER LP,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 15880 SQ FT TO CREATE LAB SPACE ON 1ST FLOOR OF 7 & 3 STORY STRUCTURE,779000.0,,,
10,6917,1/6/2016,15-B-03000,23,0024P00216000000,"950 PROGRESS ST, PITTSBURGH, PA 15212",SB DEVELOPMENT LP,MASCARO CONSTRUCTION COMPANY LP,RENOVATION OF EXISTING 6-STORY STRUCTURE INTO 151 MULTI-FAMILY RESIDENTIAL UNITS WITH AMENITIES SPACES. INTERIOR RENOVATIONS. EXTERIOR RENOVATIONS TO INCLUDE FACADE RENOVATIONS AND NEW WINDOWS AND DOORS ON ALL SIDES. EXTERIOR AMENITY SPACE ON LOT 24-P-210 TO INCLUDE 4 FT PERIMETER FENCE; BOCCE COURT; FIRE PIT; PICNIC TABLE AND GRILLING. 155 OFF-SITE PARKING SPACES TO BE LOCATED IN THE GARAGE ON PARCEL 24-P-25.,17949350.0,,,
11,6952,1/7/2016,15-B-03640,2,0002B00051000000,"600 GRANT ST, PITTSBURGH, PA 15219",600 GS PROP LP,MASCARO CONSTRUCTION COMPANY LP,INSTALL VIDEO WALL IN CTR FOR CONNECTED HEALTH CARE OFFICE ON 60TH FLOOR OF 62 STORY STRUCTURE (UPMC),115000.0,,,
