,OldIndex,IssueDate,PermitNo.,Ward,Parcel,Address,Owner,Contractor,WorkDescription,Cost,SNPNeighborhood(partial),TypeofWork(partial),TypeofStructure(partial)
0,31,1/7/2015,14-B-03657,14,0052N00176000000,4800 FORBES AVE,Pennsylvania Higher Education Facilitiesauthority,MASCARO CONSTRUCTION COMPANY LP,"FOUNDATION PERMIT ONLY - FUTURE USE OF 3,600 SQUARE FOOT ONE STORY ADDITION WITH 3,600 SQUARE FOOT ROOF DECK FOR EDUCATIONAL CLASSROOM SPACE",100000.0,,,
2,65,1/14/2015,14-B-04121,22,0008J00030000000,100 ART ROONEY DR,Sports & Exhibition Auth Of Pittsburgh   <Br>Allegheny County,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR AND EXTERIOR RENOVATION TO ADD APPROXIMATELY 2986 SEATS, INTERIOR CLUB SPACE, COUNCOURSE, RESTROOM AND FOOD SERVICE. FINAL PLANS WILL INCLUDE EXTERIOR BIKE RACKS.",14526270.0,,,
3,286,2/12/2015,15-B-00339,22,0008C00300000000,4 ALLEGHENY CTR,Four Allegheny Associates Lp,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR DEMOLITION TO FLOORS 2, 5 AND 6 OF 10 STORY STRUCTURE",45000.0,,,
4,610,3/27/2015,14-B-03641,14,0052N00176000000,4800 FORBES AVE,Pennsylvania Higher Education Facilitiesauthority,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATION, EXTERIOR RENOVATION AND ",2129130.0,,,
6,907,4/30/2015,15-B-00942,2,0002E00184000000,501 GRANT ST,Div 501 Grant Limited Partnership,MASCARO CONSTRUCTION COMPANY LP,INTERIOR AND EXTERIOR RENOVATIONS,7474173.0,,,
7,914,5/1/2015,15-B-00326,23,0024P00216000000,950 PROGRESS ST,Buncher Company,MASCARO CONSTRUCTION COMPANY LP,INTERIOR DEMOLITION ONLY,1027380.0,,,
8,1238,6/3/2015,15-B-00817,2,0001D00032000000,600 PENN AVE,Pittsburgh Symphony Society,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 6298 SQ FT OF 5 STORY STRUCTURE (HEINZ HALL),950000.0,,,
9,1311,6/10/2015,15-B-00575,14,0052N00176000000,233 HAMERSCHLAG DR,Pennsylvania Higher Education Facilitiesauthority,ZWERGEL GENERAL CONTRACTOR INC,INTERIOR RENOVATIONS TO 1325 SQ FT ON 3RD FLOOR TO CREATE WORKSTATIONS IN FACILITIES MANAGEMENT BUILDING,3800.0,,,
11,1891,7/14/2015,15-M-00527,16,0030B00200000000,3400 S WATER ST,Upmc Presbyterian,RUTHRAUFF SAUER,"REPLACEMENT A/C UNIT, 3 FAN POWERED BOXES & 1 VAV",38000.0,,,
12,2008,7/17/2015,15-F-00155,2,0001D00032000000,600 PENN AVE,Pittsburgh Symphony Society,LIGHTHOUSE ELECTRIC,NEW DEVICES,39000.0,,,
13,2090,7/22/2015,15-S-00186,16,0030B00200000000,3400 S WATER ST,Upmc Presbyterian,SCALISE INDUSTRIES CORPORATION,ADD/RELOCATE HEADS ON 1ST & 2ND FLOORS,13000.0,,,
14,2183,7/24/2015,15-B-01640,16,0030B00200000000,3400 S WATER ST,Upmc Presbyterian,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATIONS TO 9,400 SQ FT OF TWO STORY STRUCTURE",793186.0,,,
15,2241,7/28/2015,15-E-01754,22,0008C00300000000,4 ALLEGHENY CTR,Four Allegheny Associates Lp,STAR ELECTRIC,"RECEPTACLES, LUMINAIRES & SERVICE EQUIPMENT",337000.0,,,
16,2260,7/28/2015,15-E-01755,22,0008C00300000000,4 ALLEGHENY CTR,Four Allegheny Associates Lp,STAR ELECTRIC,"RECEPTACLES, LUMINAIRES & SERVICE EQUIPMENT",181000.0,,,
17,3844,9/18/2015,15-B-02758,2,0002B00051000000,"600 GRANT, PITTSBURGH, PA 15219",600 GS PROP LP,NED TRBOVICH,"INTERIOR RENOVATIONS TO 4,716 SQ FT OF OFFICE SPACE ON 53RD FLOOR IN 64 STORY STRUCTURE",225000.0,,,
18,4029,9/24/2015,15-S-00314,2,0002E00184000A00,"501 GRANT ST, PITTSBURGH, PA 15219",501 GRANT STREET PARTNERS LLC,,"DEMO AND REWORK EXISTING WET SYSTEM FOR NEW PARKING IN BASEMENT LEVELS, REPLACE EXISTING FIRE PUMP, CONVERT SPRINKLER HEADS FOR NEW SHELL SPACES ON LEVELS 1 THROUGH 11, & REPLACE EXISTING PRVs AS NECESSARY.",350000.0,,,
19,4187,9/30/2015,15-E-02385,2,0002B00051000000,"600 GRANT ST, PITTSBURGH, PA 15219",600 GS PROP LP,JOHN D HOFFMAN,,25000.0,,,
20,4250,10/1/2015,15-B-02084,2,0002E00184000A00,"501 GRANT ST, PITTSBURGH, PA 15219",501 GRANT STREET PARTNERS LLC,JOHN MASCARO,"INTERIOR RENOVATIONS TO 13,330 SQ FT ON THE 10TH AND 11TH FLOORS OF 11 STORY STRUCTURE",419502.0,,,
21,4406,10/7/2015,15-M-00907,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,GORDON COLLINS,21 TERMINAL UNITS & DUCTWORK,198361.0,,,
22,4693,10/15/2015,15-E-02252,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,JAMES J FERRY,RECEPTACLES & LUMINAIRES,60000.0,,,
23,4841,10/19/2015,15-B-02678,2,0002B00051000000,"600 GRANT, PITTSBURGH, PA 15219",600 GS PROP LP,RON PAGE,INTERIOR RENOVATOINS TO 4277 SQ FT ON 53RD FLOOR OF 64 STORY STRUCTURE,34000.0,,,
24,4982,10/22/2015,15-B-02805,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,JOHN DEVECCHIO,REPLACE FRONT DOOR AND INTERIOR RENOVATIONS TO 6293 SQ FT RESTAURANT ON 1ST FLOOR OF 42 STORY STRUCTURE,155082.0,,,
25,4983,10/22/2015,15-M-00948,2,0002E00184000A00,"501 GRANT ST, PITTSBURGH, PA 15219",501 GRANT STREET PARTNERS LLC,ANTHONY J. VRBIN,,72000.0,,,
26,5191,10/29/2015,15-M-00874,2,0002B00051000000,"600 GRANT ST, PITTSBURGH, PA 15219",600 GS PROP LP,PAUL NEIL,"REWORKING & ADDING DUCTWORK, NEW GRD'S",12000.0,,,
27,5534,11/10/2015,15-S-00379,2,0002B00051000000,"600 GRANT ST, PITTSBURGH, PA 15219",600 GS PROP LP,SIMPLEX GRINNELL LP - BRANCH #546,ADD/RELOCATE SPRINKLER HEADS,1600.0,,,
